permutation_id,selectivity,rows_returned,execution_time,L1_cache_misses,L1_misses_per_tuple,access_pattern
perm1,99,226868,2.1406,18183715,80.15107904155721,Repeated
perm2,99,226868,2.3125,17441552,76.87973623428601,Repeated
perm3,99,226868,2.3024,17624779,77.68737327432692,Repeated
perm4,99,226868,2.0394,18706655,82.45611985824355,Repeated
perm5,99,226868,2.2597,17292923,76.2246019711903,Repeated
perm6,99,226868,2.1356,18125730,79.89548988839326,Repeated
perm7,99,226868,2.0507,18620210,82.07508330835552,Repeated
perm8,99,226868,2.3724,18444466,81.30043020611105,Repeated
