permutation_id,selectivity,rows_returned,execution_time,L1_cache_misses,L1_misses_per_tuple,access_pattern
perm1,50,13332,0.4596,4012728,300.984698469847,Repeated
perm2,50,13332,0.4993,3938066,295.3844884488449,Repeated
perm3,50,13332,0.4366,3916534,293.7694269426943,Repeated
perm4,50,13332,0.4845,3900110,292.53750375037504,Repeated
perm5,50,13332,0.5393,3921540,294.14491449144913,Repeated
perm6,50,13332,0.5047,3887117,291.56293129312934,Repeated
perm7,50,13332,0.4611,3875311,290.67739273927396,Repeated
perm8,50,13332,0.4382,3902282,292.7004200420042,Repeated
